,precision,recall,f1-score,support
No Event,0.9982218240555986,0.8897277220236043,0.940857377715088,165309.0
Event,0.15044041571515124,0.9249283667621776,0.2587886318996272,3490.0
accuracy,0.8904555121772049,0.8904555121772049,0.8904555121772049,0.8904555121772049
macro avg,0.5743311198853749,0.9073280443928909,0.5998230048073576,168799.0
weighted avg,0.9806935382535017,0.8904555121772049,0.9267552804106256,168799.0
