event_id,lat,lon,date,source
FLX_104,3.12,101.65,2006-02-26,DFO
FLX_105,7.17,125.57,2006-03-04,DFO
FLX_106,-7.84,111.86,2006-04-19,DFO
FLX_107,5.27,102.15,2006-04-20,DFO
FLX_108,18.37,94.95,2006-04-29,DFO
FLX_109,11.24,124.86,2006-05-11,DFO
FLX_110,18.18,100.15,2006-05-22,DFO
FLX_111,15.13,100.91,2006-05-31,DFO
FLX_112,-5.17,120.11,2006-06-19,DFO
FLX_113,0.55,123.01,2006-06-23,DFO
FLX_114,-3.29,115.49,2006-06-25,DFO
FLX_115,18.23,95.05,2006-07-03,DFO
FLX_116,11.43,103.53,2006-07-06,DFO
FLX_117,22.71,105.33,2006-07-09,DFO
FLX_118,24.003504,112.108469,2006-07-11,GFD
FLX_119,21.8487579,106.6140692,2006-07-18,EMDAT_GEO
FLX_120,15.862,120.74,2006-07-30,DFO
FLX_121,21.111712,110.113498,2006-08-02,DFO
FLX_122,11.062,104.675,2006-08-10,DFO
FLX_123,17.764156,106.149356,2006-08-12,DFO
FLX_124,18.764,100.017,2006-08-20,DFO
FLX_125,19.91,95.45,2006-09-15,EMDAT
FLX_126,19.812232,95.447771,2006-09-15,DFO
FLX_127,11.865259,108.108488,2006-09-17,DFO
FLX_128,16.67876,107.205929,2006-09-27,DFO
FLX_129,16.137697,103.609148,2006-10-10,DFO
FLX_130,11.8000378,106.9151381,2006-10-12,EMDAT_GEO
FLX_131,5.771772,100.513692,2006-10-20,DFO
FLX_132,7.610462,125.834295,2006-10-21,DFO
FLX_133,17.01728,121.817032,2006-10-30,DFO
FLX_134,10.329669,106.735524,2006-11-30,DFO
FLX_135,1.873783,103.222757,2006-12-19,DFO
FLX_136,4.474578,97.504751,2006-12-22,DFO
FLX_137,12.444668,124.771148,2006-12-29,DFO
FLX_138,4.967981,115.906768,2007-01-04,DFO
FLX_139,7.711826,125.216707,2007-01-10,DFO
FLX_140,2.191714,103.368347,2007-01-11,DFO
FLX_141,3.557464,125.539888,2007-01-12,DFO
FLX_142,-6.224835,106.827557,2007-01-31,DFO
FLX_143,-8.566743,120.7567,2007-03-01,DFO
FLX_144,-9.537169,124.710013,2007-03-17,DFO
FLX_145,-8.57837,117.443649,2007-04-14,DFO
FLX_146,7.444124,99.646097,2007-04-14,DFO
FLX_147,-1.92539,121.21707,2007-04-16,DFO
FLX_148,4.72513,95.737416,2007-04-17,DFO
FLX_149,-0.860079,114.779037,2007-05-01,DFO
FLX_150,11.652617,99.614283,2007-05-01,DFO
FLX_151,16.908898,96.131258,2007-05-04,DFO
FLX_152,-1.074528,119.954062,2007-05-06,DFO
FLX_153,17.211479,100.338679,2007-05-11,DFO
FLX_154,-0.1883,116.91957,2007-05-15,DFO
FLX_155,19.5317229,93.9966846,2007-06-11,EMDAT_GEO
FLX_156,-8.76725,125.9340661,2007-06-15,EMDAT_GEO
FLX_157,0.617594,123.095573,2007-06-16,DFO
FLX_158,21.240062,107.174034,2007-06-30,DFO
FLX_159,18.52419,95.317389,2007-07-06,DFO
FLX_160,-1.73966,121.487854,2007-07-17,DFO
FLX_161,2.961399,97.513896,2007-07-22,DFO
FLX_162,-3.279537,120.198324,2007-07-25,DFO
FLX_163,-0.641493,128.141163,2007-07-28,DFO
FLX_164,12.342909,108.198166,2007-08-03,DFO
FLX_165,12.8741856,108.7979302,2007-08-05,EMDAT_GEO
FLX_166,13.279945,105.882012,2007-08-10,DFO
FLX_167,26.0207656,97.4919258,2007-08-14,EMDAT_GEO
FLX_168,16.962415,95.17279,2007-08-14,DFO
FLX_169,8.936048,98.981817,2007-08-20,DFO
FLX_170,-1.076336,116.715657,2007-09-02,DFO
FLX_171,16.81984,102.480218,2007-09-05,DFO
FLX_172,17.065551,106.902927,2007-09-29,DFO
FLX_173,15.868218,107.780122,2007-10-14,DFO
FLX_174,3.517523,97.222388,2007-10-18,DFO
FLX_175,11.010928,105.514427,2007-10-20,DFO
FLX_176,9.721516,99.001663,2007-10-22,DFO
FLX_177,13.357486,123.381184,2007-10-27,DFO
FLX_178,10.766803,106.689726,2007-10-27,DFO
FLX_179,16.320817,107.359696,2007-10-28,DFO
FLX_180,17.568922,121.762961,2007-11-04,DFO
FLX_181,15.302631,108.440057,2007-11-10,DFO
FLX_182,8.796,124.833,2007-11-18,EMDAT
FLX_183,17.078169,122.010486,2007-11-25,DFO
FLX_184,3.894181,102.927912,2007-12-07,DFO
FLX_185,0.610591,123.060127,2007-12-17,DFO
FLX_186,-0.686119,100.615986,2007-12-25,DFO
FLX_187,-7.54216,111.332593,2007-12-25,DFO
FLX_188,-6.225,106.828,2008-01-02,DFO
FLX_189,-7.70779,112.908294,2008-01-30,DFO
FLX_190,-6.188742,106.845305,2008-02-01,DFO
FLX_191,-7.73908,113.997559,2008-02-08,DFO
FLX_192,-6.801843,111.06369,2008-02-11,DFO
FLX_193,11.639555,125.218352,2008-02-12,DFO
FLX_194,8.535518,125.935234,2008-02-12,GFD
FLX_195,-6.260593,107.286313,2008-02-14,DFO
FLX_196,-7.126871,112.368479,2008-03-01,DFO
FLX_197,4.575252,114.981432,2008-03-05,DFO
FLX_198,0.537682,101.781899,2008-03-10,DFO
FLX_199,4.649288,95.772795,2008-04-23,DFO
FLX_200,16.821377,95.971541,2008-05-03,DFO
FLX_201,9.876667,122.875319,2008-05-10,DFO
FLX_202,7.095196,124.997828,2008-05-10,GFD
FLX_203,12.138957,107.828058,2008-05-11,DFO
FLX_204,17.124571,120.55564,2008-05-18,DFO
FLX_205,11.634,122.269,2008-06-21,DFO
FLX_206,-1.675,116.237,2008-07-09,DFO
FLX_207,23.35,120.97,2008-07-28,DFO
FLX_208,22.05,105.21,2008-08-09,DFO
FLX_209,17.31,103.66,2008-08-11,DFO
FLX_210,22.8168007,104.9504515,2008-08-26,EMDAT_GEO
FLX_211,4.08,102.12,2008-09-05,DFO
FLX_212,0.68,122.52,2008-09-06,DFO
FLX_213,17.82,103.18,2008-09-11,DFO
FLX_214,15.026458,100.8089178,2008-09-13,EMDAT_GEO
FLX_215,21.9,104.59,2008-09-25,DFO
FLX_216,-7.3032412,110.0044145,2008-10-15,EMDAT_GEO
FLX_217,14.9,107.46,2008-10-19,DFO
FLX_218,20.74,106.32,2008-10-27,DFO
FLX_219,-7.3032412,110.0044145,2008-11-15,EMDAT_GEO
FLX_220,15.7,107.71,2008-11-17,DFO
FLX_221,17.95,121.35,2008-11-18,DFO
FLX_222,7.55,100.11,2008-11-20,DFO
FLX_223,4.94,101.82,2008-12-01,DFO
FLX_224,17.2,121.8,2008-12-01,EMDAT
FLX_225,18.89,107.06,2008-12-25,EMDAT
FLX_226,16.89,107.06,2008-12-25,DFO
FLX_227,-3.33,103.14,2008-12-26,DFO
FLX_228,8.447826,125.039978,2008-12-28,GFD
